time,open,high,low,close
1755244800,6505.25,6507.5,6494,6494.75
1755248400,6494.5,6497.25,6491.75,6491.75
1755252000,6492,6501,6490,6499.5
1755255600,6499.5,6502.25,6498.75,6499.5
1755259200,6499.75,6500.5,6492,6498.5
1755262800,6498.25,6500.5,6473.5,6477.25
1755266400,6477,6483.25,6468.25,6472.75
1755270000,6472.5,6479.5,6461.5,6470.75
1755273600,6470.5,6479.5,6467.25,6477.5
1755277200,6477.5,6485,6474,6484.25
1755280800,6484.5,6485.5,6474.75,6479.25
1755284400,6479.25,6479.5,6467.75,6471.5
1755288000,6471.5,6472.25,6464,6467.25
1755468000,6467,6480,6466.25,6479.25
1755471600,6479.25,6482.75,6477.75,6480.5
1755475200,6480.5,6483,6479.5,6480.25
1755478800,6480.25,6484.25,6479.5,6484.25
1755482400,6484,6484.25,6481.25,6482.5
1755486000,6482.5,6483.75,6479.75,6480.5
1755489600,6480.25,6481,6478,6478.5
1755493200,6478.25,6480,6477,6478.5
1755496800,6478.25,6479.75,6461.25,6466.25
1755500400,6466.5,6468.75,6459,6465.25
1755504000,6465.5,6467.75,6456.75,6464.25
1755507600,6464.5,6464.75,6456,6459.5
1755511200,6459.75,6466.5,6459.25,6465.25
1755514800,6465.25,6466.25,6461.25,6464.5
1755518400,6464.5,6467.25,6461,6466.5
1755522000,6466.5,6474,6461,6462.75
1755525600,6462.75,6475.25,6458.5,6468.25
1755529200,6468,6470.5,6460.75,6463.25
1755532800,6463,6469.75,6457.25,6460.75
1755536400,6460.75,6474.25,6460.5,6463.5
1755540000,6463.75,6471.75,6460,6470.5
1755543600,6470.25,6474.75,6466.5,6468.75
1755547200,6468.75,6470.75,6466,6467
1755554400,6468.5,6477.5,6467.75,6474.5
1755558000,6474.25,6475.25,6470.25,6471.5
1755561600,6471.5,6471.75,6462,6465.75
1755565200,6466,6469,6463.75,6464
1755568800,6463.75,6466.25,6460.25,6460.75
1755572400,6460.75,6466,6459.25,6460
1755576000,6460.25,6460.25,6456.75,6459
1755579600,6459.25,6460.5,6454,6455.25
1755583200,6455,6460.75,6454.75,6459.5
1755586800,6459.5,6462,6456.75,6460.25
1755590400,6460.25,6465.5,6458,6465.25
1755594000,6465.25,6469,6464.25,6465.75
1755597600,6466,6466,6459.5,6461.5
1755601200,6461.25,6467.75,6461,6467.25
1755604800,6467,6468.75,6462.5,6463.25
1755608400,6463.25,6469.5,6454.75,6463.75
1755612000,6463.75,6476.25,6446.5,6446.75
1755615600,6446.75,6453.75,6439,6442.25
1755619200,6442,6446,6427.75,6431.25
1755622800,6431.25,6435.75,6422.5,6432.75
1755626400,6432.75,6433.5,6421.25,6425.75
1755630000,6426,6434.25,6419.25,6432.75
1755633600,6432.75,6436.5,6432.5,6435
1755640800,6433,6438,6429.75,6432.25
1755644400,6432.25,6434.25,6424.25,6427.25
1755648000,6427.5,6427.5,6422.25,6425
1755651600,6424.75,6427.5,6417.5,6418.75
1755655200,6418.5,6420.75,6415.5,6419.5
1755658800,6419.5,6420.25,6409.25,6410.5
1755662400,6410.75,6415.75,6410.5,6413
1755666000,6412.75,6416.25,6409,6415.5
1755669600,6415.5,6419.25,6411.25,6417.75
1755673200,6417.75,6425.5,6417.25,6419.75
1755676800,6420,6422,6412.5,6419.5
1755680400,6419.75,6425.5,6417.75,6424
1755684000,6424.25,6427.75,6420.75,6425.25
1755687600,6425,6429.75,6418.5,6424.25
1755691200,6424.25,6429.75,6421.5,6427
1755694800,6427,6430.75,6383,6387.25
1755698400,6387.25,6396.5,6362.75,6367.25
1755702000,6367.5,6402.75,6365.25,6385
1755705600,6385,6408.5,6384.5,6397
1755709200,6396.75,6413.25,6395,6406
1755712800,6406,6407.25,6385.5,6400.5
1755716400,6400.5,6424.25,6400.25,6413.75
1755720000,6414,6415.5,6411,6414.5
1755727200,6414.25,6417.75,6410,6411.5
1755730800,6411.25,6412.75,6408,6411.25
1755734400,6411,6411.5,6401.25,6405.5
1755738000,6405.25,6416.75,6401,6416.25
1755741600,6416,6419,6413.75,6417.25
1755745200,6417.25,6418.75,6413.5,6413.75
1755748800,6413.75,6414.5,6411.25,6412
1755752400,6412.25,6414,6406.5,6413.25
1755756000,6413.5,6418.75,6412.25,6416.25
1755759600,6416.25,6417.25,6409.5,6413
1755763200,6413.25,6416.75,6403,6403.25
1755766800,6403.25,6408.25,6401.25,6403.75
1755770400,6403.75,6404.5,6395,6403
1755774000,6402.75,6408.25,6394.25,6397.75
1755777600,6397.75,6398,6384.75,6387
1755781200,6386.75,6397.75,6375.5,6384
1755784800,6383.75,6412.25,6378.5,6404.25
1755788400,6404,6408.5,6385.25,6388.25
1755792000,6388,6392.75,6378.75,6381
1755795600,6381,6394.5,6370.25,6391.5
1755799200,6391.5,6395.25,6383,6393.75
1755802800,6393.5,6397.5,6383,6388.25
1755806400,6388.5,6392.25,6386,6390.75
1755813600,6392,6397.5,6391.5,6396.75
1755817200,6396.5,6398.5,6394.25,6398.25
1755820800,6398,6399.25,6385.25,6391.5
1755824400,6391.5,6393,6387.75,6390
1755828000,6390,6394.75,6388.75,6389
1755831600,6389,6389.5,6385.5,6386.25
1755835200,6386.5,6390.5,6386,6389
1755838800,6389,6389.75,6382.75,6385.25
1755842400,6385.25,6385.25,6364,6376.75
1755846000,6376.75,6391.5,6375,6390.5
1755849600,6390.25,6402.75,6388.75,6402
1755853200,6402,6402.5,6398.5,6402
1755856800,6402.25,6406,6401.25,6404
1755860400,6404,6406,6398,6400
1755864000,6399.75,6405.75,6399.25,6400.25
1755867600,6400.25,6427.75,6399.25,6414.25
1755871200,6414.25,6492.75,6414.25,6487.25
1755874800,6487.5,6496.25,6484,6485
1755878400,6485.25,6490,6473.75,6478
1755882000,6477.75,6495,6477.75,6489
1755885600,6489,6491.5,6483.75,6485.75
1755889200,6485.75,6487.75,6474,6483.25
1755892800,6483,6486.75,6480,6484.75
1756072800,6493,6494,6479,6483.25
1756076400,6483.25,6486.75,6480.75,6483
1756080000,6483.25,6487.25,6477.75,6479.25
1756083600,6479.25,6480,6474.5,6474.5
1756087200,6474.5,6477.25,6471.75,6472
1756090800,6471.75,6478.25,6471.5,6477.75
1756094400,6477.5,6480,6476.75,6479.25
1756098000,6479.25,6482,6478.25,6481.75
