time,open,high,low,close
1609714800,12889,12959.75,12522.5,12688.25
1609801200,12682.75,12809,12612,12803.5
1609887600,12800.25,12844.25,12491.25,12658
1609974000,12658.5,12959,12646.5,12925.75
1610060400,12927,13125,12919,13123.25
1610319600,13093.25,13105.25,12871.75,12905.75
1610406000,12910.75,12959,12767.25,12881.25
1610492400,12882.5,13003,12820.75,12973
1610578800,12975.5,13028.75,12881,12899.75
1610665200,12909,12931.25,12743.5,12759
1610924400,12774.25,13032.75,12727,13032.75
1611097200,13030,13327,13017,13290.5
1611183600,13288.5,13423.5,13283.25,13397
1611270000,13394,13402.25,13300.25,13355.25
1611529200,13370,13554.5,13189,13464.25
1611615600,13459.75,13599.75,13380.25,13552.25
1611702000,13551,13586.5,12884.75,13061.75
1611788400,13052.5,13394,12906.25,13151.75
1611874800,13156,13188,12829,12870.5
1612134000,12849,13271.5,12727.25,13235.25
1612220400,13232.5,13509.75,13230.5,13498
1612306800,13506,13584.5,13386.75,13416
1612393200,13429.5,13568.75,13345.25,13563.25
1612479600,13560,13638.5,13519.5,13603.5
1612738800,13623.75,13693,13596,13685.5
1612825200,13683.5,13735.25,13634,13697.5
1612911600,13698,13769.25,13516.75,13664.25
1612998000,13662,13743.75,13612.5,13710.25
1613084400,13711.25,13820.75,13646,13820.75
1613343600,13829.5,13900.5,13716,13755.25
1613516400,13758.25,13785,13543,13699.25
1613602800,13699.5,13723.25,13468,13640
1613689200,13638.25,13729,13534.75,13573
1613948400,13585,13629,13215,13221
1614034800,13227,13335.75,12757.25,13157.5
1614121200,13170.75,13334,12958,13314
1614207600,13304.75,13353.75,12764,12788
1614294000,12802.5,13089.5,12662.25,12905.75
1614553200,12957.5,13318,12946.25,13314
1614639600,13312.25,13328.25,13048.25,13054.75
1614726000,13061.25,13192,12663.25,12677.5
1614812400,12682,12797,12306.5,12432
1614898800,12435,12697.75,12207.25,12652.5
1615158000,12715,12761.25,12281.75,12333.5
1615244400,12345.75,12867.5,12326,12788
1615330800,12812,12993.25,12703,12788.25
1615417200,12795.25,13119.25,12724.25,13043.5
1615503600,13055,13095,12768.25,12936.25
1615759200,12950,13099,12872,13084.5
1615845600,13073,13287.25,13048.25,13153.25
1615932000,13159.5,13271,12934.25,13170
1616018400,13187,13267,12762,12790
1616104800,12793.5,12898.25,12681.75,12825.5
1616364000,12807,13157,12788.5,13062
1616450400,13069,13172,12979,13030.25
1616536800,13050.25,13145.25,12784,12796
1616623200,12803,12859.5,12609.75,12792
1616709600,12799.75,12988.5,12676.25,12959
1616968800,12975.75,13003,12807.5,12964.25
1617055200,12975,12984,12776.5,12890.25
1617141600,12894.75,13158,12858.25,13089
1617228000,13094.5,13332.5,13090.25,13327.25
1617573600,13339,13615,13304.25,13600.5
1617660000,13603.75,13655,13524.25,13583.25
1617746400,13580.5,13641,13512.5,13621
1617832800,13620.75,13789.75,13615.5,13788.75
1617919200,13786.5,13841.75,13648.25,13811
1618178400,13817.75,13832.25,13732,13824.75
1618264800,13825,13994,13772.75,13975.5
1618351200,13977.75,14029,13772.75,13827.25
1618437600,13827,14034.25,13789.25,13999
1618524000,14002,14059.5,13952.75,14024
1618783200,13989,14052.25,13821,13894
1618869600,13900,13933.75,13719.25,13735
1618956000,13740,13926.5,13700.5,13891.25
1619042400,13896.5,13944.75,13701.75,13761.5
1619128800,13757,13981,13737,13903.5
1619388000,13919.75,14039.25,13865.5,14021.75
1619474400,14024.75,14050,13912.5,13950.5
1619560800,13955.5,13993.5,13878,13968.75
1619647200,13973.5,14064,13818.5,13945.25
1619733600,13948.25,13956.75,13819.75,13865.25
1619992800,13880.25,13947.5,13772,13785
1620079200,13785,13792.5,13380.75,13521.75
1620165600,13525.75,13665.5,13462.75,13483.5
1620252000,13484,13611.5,13388.75,13605.75
1620338400,13614.5,13818,13588.25,13715.5
1620597600,13718,13752,13305.5,13311.5
1620684000,13316.5,13375.75,13065.25,13317
1620770400,13321.25,13351.75,12959.75,12965.25
1620856800,12968.75,13223.75,12915,13091.25
1620943200,13095,13426.25,13071,13398
1621202400,13380.25,13448.5,13182.75,13312
1621288800,13308.5,13432.25,13178.5,13188.75
1621375200,13182,13243,12954.25,13218.75
1621461600,13220.5,13522.75,13150.75,13489.25
1621548000,13492.5,13570,13395.75,13414
1621807200,13383.25,13686,13356.5,13649.5
1621893600,13656.5,13738.75,13606.75,13668.25
1621980000,13670.25,13728.5,13656,13702.75
1622066400,13702.5,13720.75,13620.25,13692.75
1622152800,13694.75,13763.5,13662.75,13686.5
1622412000,13699,13773,13592.25,13647.5
1622584800,13653.25,13712.75,13603.25,13677
1622671200,13679.5,13707.75,13462.25,13530.25
1622757600,13531.75,13783.75,13467.75,13763.25
1623016800,13773.25,13824,13691.5,13822.75
1623103200,13823,13917.25,13741.75,13812.75
1623189600,13813,13904.25,13803.5,13811.5
1623276000,13817,13976.5,13726,13973.5
1623362400,13975.5,13997.75,13932.25,13992.75
1623621600,13999,14133.5,13965.25,14117
1623708000,14111,14155.25,14000.75,14037.75
1623794400,14039,14095.75,13830.25,13930.75
1623880800,13941,14199,13841.75,14177
1623967200,14180,14204.75,14010,14017.75
1624226400,14022.75,14144,13958.5,14137.5
1624312800,14136.75,14279.25,14066.5,14268.5
1624399200,14274,14315.75,14231.75,14274.25
1624485600,14275.25,14422,14270,14359
1624572000,14365.75,14394.25,14313.25,14331
1624831200,14350,14519.75,14333.25,14502.75
1624917600,14504.5,14584.75,14468.75,14582.75
1625004000,14584.75,14598.5,14518.25,14555.5
1625090400,14558.5,14606.25,14471,14540
1625176800,14543.75,14729,14513.25,14701
1625436000,14704.25,14790,14625.25,14763.75
1625608800,14764.5,14883.75,14726.25,14810.25
1625695200,14812,14822,14540.5,14713
1625781600,14710.25,14832,14640.75,14814.25
1626040800,14824,14888.5,14785,14876
1626127200,14880,14994.75,14794.5,14865
1626213600,14869.75,14996,14841.25,14896.75
1626300000,14895,14962.75,14708.25,14776.5
1626386400,14778.5,14869.5,14656,14668.5
1626645600,14675,14682.5,14445,14592.25
1626732000,14593.75,14782.5,14516.75,14726.75
1626818400,14729.75,14839.5,14668.25,14838.25
1626904800,14836.75,14982.75,14826.75,14977
1626991200,14979.5,15117.25,14934.25,15091.25
1627250400,15098,15134,15038.75,15124.5
1627336800,15125.25,15131.5,14774.25,14884.75
1627423200,14875.75,15074.5,14866,14984.75
1627509600,14984.75,15084,14905,14909.75
1627596000,14905.25,14980,14811.25,14966.5
1627855200,14972.75,15056.25,14932.25,14959.75
1627941600,14962.25,15050,14849,15035
1628028000,15038,15108,14997,15081.5
1628114400,15081.75,15172.5,15069.25,15171.75
1628200800,15167.75,15169.75,15047.25,15092.75
1628460000,15090.25,15145.5,15003.25,15126.75
1628546400,15128.75,15157.25,14994.5,15048
1628632800,15045,15119,14963,15008.5
1628719200,15008.5,15090.5,14941.25,15079.5
1628805600,15079.75,15141.75,15055.25,15122
1629064800,15119.25,15139,14917.25,15135
1629151200,15131.5,15133.75,14897,14969.25
1629237600,14970.25,15037.25,14806.5,14839.5
1629324000,14840,14999,14710.5,14943.75
1629410400,14943.25,15100,14851,15095
1629669600,15090,15337.5,15086.5,15328.25
1629756000,15327,15384,15309.5,15363.5
1629842400,15362.25,15397,15333,15367.25
1629928800,15367.25,15368.25,15255.25,15287.25
1630015200,15286,15443.75,15265.5,15428.25
1630274400,15432.75,15617.75,15420,15606.5
1630360800,15605.5,15677.25,15517.75,15599.5
1630447200,15599.5,15699,15578.5,15610
1630533600,15610,15682,15551.75,15600.75
1630620000,15601,15677.5,15552.25,15655
1630879200,15656,15708.75,15606.75,15672
1631052000,15671,15691,15523.75,15609.75
1631138400,15610,15675.75,15545.75,15562.5
1631224800,15561,15668,15433.5,15447.75
1631484000,15452.5,15565,15350.25,15453
1631570400,15444,15524.25,15344.5,15388.25
1631656800,15390,15514.5,15307.75,15508.25
1631743200,15509.75,15532.5,15358.75,15498
1631829600,15497.75,15528.25,15276.25,15282.75
1632088800,15284,15338.25,14807.5,14991
1632175200,14992,15163.25,14963.25,14992.75
1632261600,14992.75,15227,14930.5,15178.25
1632348000,15178.25,15347,15175.25,15296
1632434400,15300.25,15334.25,15176.75,15319
1632693600,15319,15399.25,15084,15171.5
1632780000,15172.25,15192.25,14740.75,14768
1632866400,14769.25,14926,14711,14762.5
1632952800,14769.75,14883.5,14670.25,14692.25
1633039200,14702.25,14818,14537,14777.25
1633298400,14785,14835,14367.75,14489
1633384800,14493.75,14754.75,14410.5,14661.5
1633471200,14662,14770,14422.5,14765.5
1633557600,14768,15001.25,14767,14891.25
1633644000,14891.25,14996,14790.75,14805.5
1633903200,14810.25,14897.25,14677,14685
1633989600,14688.5,14783.25,14585.5,14597.25
1634076000,14594,14795.75,14591,14767.75
1634162400,14770.25,15071.5,14767.5,15065
1634248800,15063.75,15145,15020.75,15144.25
1634508000,15145,15297.25,15038.75,15288.75
1634594400,15289.75,15428.25,15269,15410.75
1634680800,15411,15446.5,15319,15357.75
1634767200,15357.5,15483.75,15301,15381.25
1634853600,15383,15463.5,15273.75,15324
1635112800,15324.25,15546,15295.75,15543.75
1635199200,15543,15701,15503,15522.75
1635285600,15532.25,15717.5,15507.25,15593
1635372000,15595,15777,15591.75,15670
1635458400,15679.75,15864.75,15595.5,15864
1635717600,15885.25,15914.75,15768.5,15887.75
1635804000,15891,15980.25,15849.5,15959.25
1635890400,15957.75,16145.75,15935.25,16130.5
1635976800,16129.5,16376,16129.5,16338.25
1636063200,16335,16448.5,16292,16344.75
1636326000,16293,16394,16256,16322.75
1636412400,16315.5,16391.75,16160,16197.25
1636498800,16201.25,16243,15896.5,15986.25
1636585200,15989,16114,15976,16036.25
1636671600,16043.75,16213.25,16001.75,16200
1636930800,16212.25,16276.5,16082.25,16196.25
1637017200,16198.5,16323.75,16142,16294.25
1637103600,16297.75,16396.5,16270,16322.25
1637190000,16322.5,16508,16303.5,16505.5
1637276400,16503.25,16628.5,16490.25,16588.25
1637535600,16600.25,16767.5,16364.5,16398.5
1637622000,16399,16418.75,16118.5,16298
1637708400,16300.25,16368.5,16102,16354.75
1637794800,16360,16436,15988,16043.5
1638140400,16046.5,16437.75,16038,16413.75
1638226800,16419,16456.25,16068.75,16238.25
1638313200,16238.75,16427.5,15825.25,15858.75
1638399600,15891.75,16066.25,15762.75,16016.5
1638486000,16020,16121.75,15538,15687.5
1638745200,15716.25,15897.25,15559.25,15849.25
1638831600,15848.75,16374.5,15824.5,16366.75
1638918000,16360.5,16436.75,16251.5,16382.5
1639004400,16380.5,16420,16120.25,16154.5
1639090800,16158.5,16335.75,16133.75,16322.5
1639350000,16321.75,16411.25,16064.25,16093.25
1639436400,16088,16132.75,15734,15927
1639522800,15929,16300,15740.25,16285.25
1639609200,16288,16457,15793,15880.5
1639695600,15878,15956.5,15651.75,15828.5
1639954800,15809.5,15851.75,15492,15676
1640041200,15674.25,15987.25,15605,15974
1640127600,15979,16183,15881.5,16179.5
1640214000,16180,16356,16145.25,16303
1640559600,16304.25,16580.75,16304.25,16570
1640646000,16565.75,16659.5,16452.25,16512.5
1640732400,16513.5,16564.25,16387.5,16481.5
1640818800,16484.5,16567.5,16411.25,16431.75
1640905200,16431,16464,16313.75,16331.5
1641164400,16356,16508,16292,16495.75
1641250800,16497.75,16564,16139.5,16261.25
1641337200,16265,16269,15752.75,15754.25
1641423600,15763.75,15895.75,15598.5,15794
1641510000,15801.75,15852.75,15510,15570.25
1641769200,15590,15669,15152.5,15615.5
1641855600,15622.25,15839.5,15475,15824.5
1641942000,15826,16009.25,15762.5,15895.25
1642028400,15901,15979.75,15458.25,15501.75
1642114800,15505,15621,15312.5,15616.75
1642374000,15616.75,15653.25,15170.75,15239.5
1642546800,15238.75,15372,15011.25,15037
1642633200,15042.25,15340.25,14646.75,14725.75
1642719600,14722,14858.5,14408.5,14411
1642978800,14410,14582,13706,14502.75
1643065200,14495,14499,13890,13922.25
1643151600,13945.5,14639.75,13945.5,14150.75
1643238000,14194,14409.25,13844.5,14113.75
1643324400,14167.75,14442,13831,14430.25
1643583600,14454,14914.75,14353.25,14868
1643670000,14868.75,15137,14729.25,15116.75
1643756400,15129,15260,14825,14863.25
1643842800,14852.5,14870,14456.25,14803.75
1643929200,14770,14825.75,14362.75,14645
1644188400,14682.5,14806.25,14511.5,14601.75
1644274800,14600,14776,14467.5,14745.75
1644361200,14746.25,15068,14741,15052
1644447600,15062.25,15062.25,14622,14695.5
1644534000,14698.25,14766.75,14181,14256.75
1644793200,14250,14394,14031,14260.75
1644879600,14257,14614.75,14223.25,14581.75
1644966000,14588,14668.5,14381,14592.5
1645052400,14592.25,14619.5,14131.5,14156.75
1645138800,14156.25,14299,13906.25,13993.75
1645398000,13952.75,14157.5,13580.25,13920.25
1645570800,13928.25,14068.75,13471.25,13487.5
1645657200,13484.25,13983.25,13025.75,13911
1645743600,13909.5,14196.25,13760.25,14187.75
1646002800,13900.25,14292.25,13683,14218
1646089200,14219.25,14327.75,13900,14028.5
1646175600,14026.25,14290,13911.5,14196.75
1646262000,14196.5,14391,13955,14058.5
1646348400,14069.25,14086.5,13733.75,13798.75
1646607600,13763.5,13879.75,13265,13270
1646694000,13283,13666,13103.25,13199.5
1646780400,13192.25,13821.75,13189.75,13774
1646866800,13778,13778,13396.25,13572.5
1646953200,13577.25,13860.75,13281.75,13301.75
1647208800,13362,13447.5,13015.5,13082
1647295200,13079.5,13486.5,12942.5,13443.25
1647381600,13445.25,14025.75,13417.25,13999.5
1647468000,13991,14132.5,13819,14054.25
1647554400,14056.75,14442.75,13966.5,14435.25
1647813600,14404,14466.75,14183.75,14394.75
1647900000,14390,14690.75,14293.5,14654.5
1647986400,14654,14682.25,14441,14463.75
1648072800,14462.75,14769.75,14433.5,14763
1648159200,14765,14840.5,14572.5,14752.5
1648418400,14756,14997,14658.75,14981
1648504800,14981,15268.75,14956.5,15224.25
1648591200,15222,15262.25,15012.25,15105
1648677600,15100.5,15180.75,14855.5,14917.25
1648764000,14918.75,14960,14725,14852.25
1649023200,14846,15174.5,14801,15159.5
1649109600,15155.5,15198,14780.25,14861.5
1649196000,14861,14861.25,14394.75,14496
1649282400,14496.25,14633.75,14317,14534
1649368800,14536.25,14642.25,14310.5,14328
1649628000,14345,14382,13984.75,14003.5
1649714400,14006.25,14284.25,13881.25,13953.5
1649800800,13952.75,14266.5,13921,14212.25
1649887200,14211.5,14296.25,13876.5,13892.25
1650232800,13892,14002.5,13729.5,13965
1650319200,13962.75,14242,13828,14095.75
1650405600,14104.75,14298,13956.5,14070
1650492000,14070,14283,13667.5,13715.5
1650578400,13720,13781,13297,13315.5
1650837600,13334.25,13549.75,13184,13528
1650924000,13523.5,13583.75,12801.5,12815.5
1651010400,12881,13255.25,12878.25,13168.5
1651096800,13191,13542,13033,13308
1651183200,13219.5,13433,12831.75,12890.5
1651442400,12892.25,13084.5,12709.75,13051.25
1651528800,13051.75,13183.75,12968.5,13121
1651615200,13121,13555.25,12883,13495.75
1651701600,13500.25,13548,12705.25,12897
1651788000,12883.25,12928.75,12519,12663.5
1652047200,12605,12637.25,12135.25,12205.5
1652133600,12206,12547,12102.25,12334.25
1652220000,12328.75,12553.25,11938.5,12011.5
1652306400,12004.5,12132.75,11689,11873.25
1652392800,11891.5,12432,11891.5,12364
1652652000,12409,12498.75,12190.25,12236.75
1652738400,12235.5,12578,12234,12573.75
1652824800,12572,12594,11862.75,11892.5
1652911200,11907,12076.75,11704,11898.25
1652997600,11898,12096.75,11491.25,11838
1653256800,11866,12075.5,11783.75,12056
1653343200,11915,11918,11576.25,11810.75
1653429600,11808,12036,11672,11893.25
1653516000,11887.5,12343,11848.25,12258
1653602400,12250,12720.25,12222,12717.5
1653861600,12705.25,12883,12480,12653.25
1654034400,12662.5,12823.5,12454.75,12548
1654120800,12549.75,12903.75,12442.5,12896.75
1654207200,12896,12945.25,12503,12549.5
1654466400,12549.75,12810,12527,12606.75
1654552800,12605.25,12740.25,12412.5,12681.5
1654639200,12680.5,12783,12579.25,12619.25
1654725600,12625,12726,12255.25,12297.25
1654812000,12301.5,12338.75,11823,11858.75
1655071200,11768,11772.5,11254.5,11331
1655157600,11367.5,11534.5,11236,11361.5
1655244000,11364.75,11794.25,11358.5,11626.75
1655330400,11646.25,11774.25,11068.5,11204.25
1655416800,11206.75,11396,11119,11307.75
1655676000,11332.5,11678.25,11273.75,11581.5
1655848800,11579.75,11745.75,11320.5,11544.75
1655935200,11542.75,11766.75,11460.5,11688
1656021600,11687.75,12148.5,11684.75,12132.75
1656280800,12137.5,12262,11994.25,12074.75
1656367200,12076.25,12174.25,11661.5,11680.5
