time,open,high,low,close
1607585400,26630,26760,26485,26525
1607671800,26565,26805,26370,26690
1607931000,26725,26775,26535,26630
1608017400,26630,26810,26615,26670
1608103800,26670,26775,26620,26770
1608190200,26785,26805,26645,26740
1608276600,26740,26840,26460,26650
1608535800,26560,26590,26155,26345
1608622200,26370,26575,26355,26480
1608708600,26525,26695,26495,26650
1608795000,26645,26650,26585,26650
1608881400,26640,26810,26600,26780
1609140600,26810,27590,26770,27565
1609227000,27530,27685,27320,27470
1609313400,27515,27660,27015,27320
1609745400,27370,27445,27025,27070
1609831800,27110,27190,26935,27015
1609918200,27075,27600,26925,27435
1610004600,27530,28170,27380,28140
1610091000,28150,28270,27940,28190
1610523000,28450,28965,28345,28810
1610609400,28800,28945,28440,28465
1610695800,28490,28570,28085,28190
1610955000,28175,28705,28140,28670
1611041400,28700,28815,28375,28490
1611127800,28530,28835,28480,28730
1611214200,28705,28745,28500,28630
1611300600,28590,28800,28390,28780
1611559800,28795,28815,28460,28530
1611646200,28565,28750,28525,28640
1611732600,28635,28645,27870,28050
1611819000,28055,28520,27570,27570
1611905400,27670,28140,27575,28140
1612164600,28140,28380,28055,28360
1612251000,28290,28665,28260,28635
1612337400,28645,28720,28285,28330
1612423800,28390,28800,28365,28785
1612510200,28775,29410,28705,29410
1612769400,29340,29585,29265,29500
1612855800,29470,29555,29350,29420
1612942200,29435,29670,29165,29380
1613115000,29395,30125,29300,30095
1613374200,30135,30710,30040,30600
1613460600,30550,30585,30160,30400
1613547000,30375,30565,30130,30230
1613633400,30200,30230,29740,30040
1613719800,30070,30455,30005,30170
1613979000,30100,30165,29615,29640
1614151800,29690,30240,29690,30190
1614238200,30175,30225,28970,29250
1614324600,29260,29715,29130,29580
1614583800,29635,30010,29310,29490
1614670200,29500,29645,29330,29590
1614756600,29680,29765,28705,28985
1614843000,29050,29295,28295,28760
1614929400,28735,29405,28605,28765
1615188600,28710,29100,28560,29070
1615275000,29005,29285,28925,28985
1615361400,29015,29260,28965,29230
1615447800,29140,29595,29030,29585
1615534200,29490,29720,29335,29530
1615793400,29530,29860,29410,29715
1615879800,29750,29815,29630,29720
1615966200,29715,30320,29655,30055
1616052600,30020,30050,29450,29490
1616139000,29550,29625,28920,28935
1616398200,28915,29325,28730,28810
1616484600,28830,28930,28145,28190
1616571000,28180,28650,28120,28610
1616657400,28605,29100,28480,29100
1616743800,29070,29465,29010,29080
1617003000,29200,29485,29155,29480
1617089400,29480,29540,29135,29210
1617175800,29230,29590,29170,29400
1617262200,29450,29930,29440,29930
1617348600,29930,30215,29900,30075
1617607800,30070,30280,29670,29700
1617694200,29730,29870,29515,29710
1617780600,29705,29745,29505,29670
1617867000,29630,30075,29540,29770
1617953400,29765,29950,29540,29575
1618212600,29585,29900,29535,29780
1618299000,29770,29855,29555,29610
1618385400,29640,29790,29520,29620
1618471800,29680,29835,29615,29730
1618558200,29750,29815,29515,29690
1618817400,29685,29695,29000,29135
1618903800,29135,29140,28405,28540
1618990200,28585,29175,28480,29120
1619076600,29195,29205,28760,28970
1619163000,29010,29315,28855,29165
1619422200,29155,29285,28990,28995
1619508600,28990,29140,28830,29050
1619595000,29040,29090,28760,28885
1619767800,28910,29445,28790,29310
1620286200,29400,29460,29185,29385
1620372600,29370,29695,29265,29570
1620631800,29525,29565,28525,28690
1620718200,28620,28845,27875,28140
1620804600,28250,28330,27380,27485
1620891000,27370,28145,27130,28040
1620977400,27975,28350,27620,27770
1621236600,27780,28490,27630,28455
1621323000,28435,28445,27835,27970
1621409400,27940,28180,27595,28090
1621495800,28070,28415,27865,28350
1621582200,28360,28595,28205,28340
1621841400,28390,28630,28330,28600
1621927800,28580,28720,28355,28590
1622014200,28600,28645,28355,28530
1622100600,28525,29200,28495,29125
1622187000,29090,29160,28795,28970
1622446200,28970,29095,28600,28760
1622532600,28800,29020,28560,28930
1622619000,28880,29155,28830,29070
1622705400,29010,29065,28760,28930
1622791800,28965,29275,28925,29020
1623051000,29015,29210,28945,29060
1623137400,29065,29130,28835,28840
1623223800,28865,29015,28765,28980
1623310200,28865,29105,28785,28880
1623396600,28910,29175,28885,29140
1623655800,29145,29440,29090,29410
1623742200,29410,29415,29220,29250
1623828600,29250,29390,28820,29000
1623915000,29035,29170,28910,28930
