time,open,high,low,close
1754892000,42360,42395,42325,42375
1754899200,42280,42320,42225,42250
1754902800,42245,42320,42240,42315
1754906400,42315,42325,42265,42300
1754910000,42295,42305,42275,42290
1754913600,42295,42345,42280,42305
1754917200,42305,42390,42295,42375
1754920800,42380,42390,42330,42360
1754924400,42355,42385,42320,42370
1754928000,42370,42410,42310,42315
1754931600,42315,42325,42275,42295
1754935200,42300,42325,42265,42315
1754938800,42310,42315,42225,42300
1754942400,42305,42310,42270,42280
1754946000,42280,42280,42280,42280
1754953200,42245,42335,42185,42210
1754956800,42210,42790,42210,42775
1754960400,42775,42950,42645,42845
1754964000,42850,42920,42800,42905
1754967600,42905,42990,42880,42940
1754971200,42940,43000,42925,42990
1754974800,42995,43000,42715,42750
1754978400,42750,42810,42605,42640
1754985600,42725,42750,42600,42710
1754989200,42705,42775,42705,42760
1754992800,42760,42775,42720,42750
1754996400,42755,42825,42735,42820
1755000000,42815,43200,42800,43080
1755003600,43085,43200,43025,43075
1755007200,43080,43310,43040,43280
1755010800,43285,43375,43250,43320
1755014400,43320,43350,43265,43330
1755018000,43330,43330,43265,43290
1755021600,43290,43310,43240,43240
1755025200,43245,43290,43240,43270
1755028800,43270,43315,43250,43290
1755032400,43295,43295,43295,43295
1755039600,43300,43325,43170,43205
1755043200,43200,43280,43015,43215
1755046800,43220,43350,43200,43330
1755050400,43330,43345,43245,43330
1755054000,43330,43410,43275,43375
1755057600,43380,43455,43290,43295
1755061200,43295,43340,43175,43255
1755064800,43255,43380,43215,43370
1755072000,43450,43480,43360,43425
1755075600,43420,43420,43275,43295
1755079200,43295,43320,43230,43245
1755082800,43245,43310,43220,43230
1755086400,43235,43235,43090,43145
1755090000,43145,43225,43135,43180
1755093600,43185,43215,43045,43075
1755097200,43075,43130,43045,43060
1755100800,43065,43130,43065,43095
1755104400,43095,43130,43070,43105
1755108000,43105,43160,43095,43125
1755111600,43120,43160,43090,43145
1755115200,43140,43170,43085,43100
1755118800,43100,43100,43100,43100
1755126000,43070,43140,43035,43075
1755129600,43075,43200,42835,42870
1755133200,42865,42905,42640,42675
1755136800,42675,42740,42640,42740
1755140400,42740,42740,42595,42650
1755144000,42645,42720,42635,42640
1755147600,42645,42740,42630,42700
1755151200,42700,42715,42605,42630
1755158400,42670,42710,42520,42540
1755162000,42540,42645,42535,42630
1755165600,42630,42690,42620,42665
1755169200,42665,42740,42655,42735
1755172800,42730,42750,42555,42630
1755176400,42630,42815,42580,42800
1755180000,42805,42890,42780,42820
1755183600,42820,42835,42735,42795
1755187200,42790,42815,42715,42795
1755190800,42795,42830,42785,42820
1755194400,42825,42830,42755,42805
1755198000,42805,42870,42795,42835
1755201600,42830,42830,42740,42790
1755205200,42800,42800,42800,42800
1755212400,42770,42860,42755,42775
1755216000,42780,42975,42725,42890
1755219600,42890,42960,42820,42940
1755223200,42945,43075,42940,43040
1755226800,43040,43185,43020,43165
1755230400,43160,43295,43160,43260
1755234000,43260,43375,43255,43360
1755237600,43360,43470,43270,43470
1755244800,43440,43490,43315,43335
1755248400,43335,43380,43310,43325
1755252000,43325,43425,43305,43420
1755255600,43420,43430,43365,43385
1755259200,43385,43450,43345,43405
1755262800,43405,43480,43240,43305
1755266400,43300,43375,43250,43345
1755270000,43345,43420,43300,43380
1755273600,43380,43415,43350,43400
1755277200,43400,43495,43385,43485
1755280800,43485,43490,43430,43450
1755284400,43450,43470,43415,43455
1755288000,43460,43460,43385,43395
1755291600,43370,43370,43370,43370
1755471600,43515,43545,43375,43455
1755475200,43455,43710,43380,43540
1755478800,43545,43710,43510,43665
1755482400,43665,43800,43650,43780
1755486000,43780,43840,43725,43805
1755489600,43805,43805,43645,43745
1755493200,43745,43810,43740,43765
1755496800,43765,43770,43670,43720
1755504000,43715,43720,43615,43690
1755507600,43685,43745,43660,43730
1755511200,43730,43800,43720,43790
1755514800,43790,43810,43735,43785
1755518400,43785,43830,43780,43820
1755522000,43815,43935,43815,43855
1755525600,43860,43925,43840,43915
1755529200,43915,43920,43860,43870
1755532800,43870,43885,43785,43800
1755536400,43800,43830,43765,43770
1755540000,43770,43815,43755,43810
1755543600,43805,43845,43775,43805
1755547200,43805,43805,43775,43795
1755550800,43775,43775,43775,43775
1755558000,43775,43860,43765,43820
1755561600,43820,43880,43485,43490
1755565200,43495,43730,43415,43710
1755568800,43705,43750,43620,43620
1755572400,43620,43645,43525,43615
1755576000,43615,43695,43595,43650
1755579600,43650,43690,43590,43605
1755583200,43605,43605,43515,43565
1755590400,43605,43705,43585,43705
1755594000,43700,43820,43685,43760
1755597600,43765,43765,43660,43705
1755601200,43700,43730,43675,43730
1755604800,43725,43735,43670,43680
1755608400,43680,43695,43540,43595
1755612000,43600,43665,43460,43475
1755615600,43475,43530,43440,43480
1755619200,43480,43495,43345,43375
1755622800,43370,43410,43310,43395
1755626400,43390,43395,43340,43355
1755630000,43355,43400,43330,43390
1755633600,43385,43415,43355,43365
1755637200,43365,43365,43365,43365
1755644400,43385,43410,43215,43225
1755648000,43220,43230,42880,42940
1755651600,42940,43035,42805,42830
1755655200,42830,42890,42760,42865
1755658800,42865,42875,42715,42740
1755662400,42740,42900,42720,42880
1755666000,42880,42915,42830,42915
1755669600,42915,42950,42825,42920
1755676800,42970,43005,42920,42990
1755680400,42985,43000,42915,42925
1755684000,42920,42935,42855,42915
1755687600,42910,42935,42875,42900
1755691200,42900,42930,42855,42890
1755694800,42890,42920,42565,42590
1755698400,42595,42725,42560,42605
1755702000,42605,42785,42595,42680
1755705600,42675,42800,42675,42735
1755709200,42730,42790,42695,42745
1755712800,42750,42780,42705,42750
1755716400,42750,42875,42750,42830
1755720000,42830,42845,42790,42840
1755723600,42845,42845,42845,42845
1755730800,42775,42845,42735,42800
1755734400,42790,42920,42640,42650
1755738000,42650,42760,42590,42745
1755741600,42740,42750,42625,42655
1755745200,42655,42690,42605,42605
1755748800,42605,42655,42585,42620
1755752400,42615,42635,42555,42630
1755756000,42625,42670,42610,42615
1755763200,42630,42685,42570,42570
1755766800,42570,42615,42505,42565
1755770400,42560,42640,42530,42640
1755774000,42635,42655,42575,42595
1755777600,42590,42595,42520,42575
1755781200,42570,42645,42525,42590
1755784800,42590,42750,42555,42700
1755788400,42695,42730,42605,42630
1755792000,42630,42640,42575,42590
1755795600,42585,42675,42520,42640
1755799200,42640,42680,42615,42665
1755802800,42665,42680,42625,42650
1755806400,42655,42665,42620,42665
1755810000,42650,42650,42650,42650
1755817200,42615,42705,42590,42650
1755820800,42655,42725,42315,42625
1755824400,42625,42680,42525,42615
1755828000,42615,42705,42570,42570
1755831600,42570,42600,42530,42540
1755835200,42540,42575,42515,42560
1755838800,42560,42615,42540,42600
1755842400,42600,42630,42550,42575
1755849600,42670,42740,42665,42740
1755853200,42740,42765,42700,42765
1755856800,42765,42775,42675,42730
1755860400,42735,42755,42680,42695
1755864000,42690,42715,42670,42700
1755867600,42700,42800,42680,42740
1755871200,42745,43110,42745,42990
1755874800,42990,43015,42845,42850
1755878400,42855,42915,42845,42865
1755882000,42865,42945,42855,42925
1755885600,42925,42980,42915,42955
1755889200,42955,42975,42920,42965
1755892800,42965,43020,42960,42990
1755896400,42925,42925,42925,42925
1756076400,43140,43170,42960,43075
1756080000,43075,43200,42850,42870
1756083600,42875,42930,42790,42915
1756087200,42915,42945,42810,42820
1756090800,42825,42830,42665,42720
1756094400,42720,42780,42710,42750
1756098000,42750,42820,42715,42805
1756101600,42805,42820,42740,42770
1756108800,42730,42750,42635,42640
1756112400,42635,42650,42600,42645
1756116000,42650,42665,42595,42635
1756119600,42635,42655,42620,42630
1756123200,42630,42655,42580,42645
1756126800,42645,42715,42630,42665
1756130400,42670,42695,42595,42625
1756134000,42625,42665,42600,42630
1756137600,42635,42640,42585,42585
1756141200,42585,42605,42545,42595
1756144800,42595,42610,42565,42580
1756148400,42585,42595,42525,42530
1756152000,42525,42565,42510,42515
1756155600,42515,42515,42515,42515
1756162800,42650,42680,42615,42640
1756166400,42635,42700,42115,42285
1756170000,42285,42395,42245,42315
1756173600,42315,42370,42280,42290
1756177200,42290,42415,42250,42410
1756180800,42410,42460,42360,42385
1756184400,42385,42440,42375,42415
1756188000,42410,42450,42255,42300
1756195200,42235,42270,42160,42220
1756198800,42220,42280,42205,42270
1756202400,42275,42345,42260,42320
1756206000,42320,42325,42255,42275
1756209600,42280,42365,42230,42350
1756213200,42350,42420,42325,42405
1756216800,42405,42490,42405,42430
1756220400,42435,42435,42330,42380
1756224000,42385,42390,42350,42375
1756227600,42380,42385,42345,42365
1756231200,42365,42450,42365,42410
1756234800,42405,42505,42400,42485
1756238400,42485,42530,42480,42520
1756242000,42505,42505,42505,42505
1756249200,42510,42530,42440,42470
1756252800,42470,42495,42250,42350
1756256400,42350,42425,42310,42410
1756260000,42410,42555,42385,42510
1756263600,42510,42615,42500,42555
1756267200,42560,42570,42465,42490
1756270800,42490,42500,42390,42445
1756274400,42445,42560,42445,42500
1756281600,42470,42470,42330,42380
1756285200,42375,42420,42370,42420
1756288800,42420,42450,42400,42415
1756292400,42420,42440,42390,42415
1756296000,42415,42475,42385,42410
1756299600,42410,42430,42350,42415
1756303200,42415,42495,42405,42445
1756306800,42445,42490,42430,42475
1756310400,42480,42485,42415,42470
1756314000,42470,42495,42445,42495
1756317600,42495,42555,42495,42520
1756321200,42525,42575,42485,42555
1756324800,42555,42595,42355,42485
1756328400,42465,42465,42465,42465
1756335600,42385,42425,42335,42345
1756339200,42350,42720,42275,42645
1756342800,42640,42710,42560,42690
1756346400,42690,42755,42670,42710
1756350000,42715,42830,42710,42810
1756353600,42810,42810,42705,42795
1756357200,42790,42830,42765,42815
1756360800,42815,42930,42795,42930
1756368000,42985,43045,42915,42925
1756371600,42930,42960,42825,42850
1756375200,42845,42860,42760,42785
1756378800,42785,42800,42725,42780
1756382400,42775,42860,42750,42835
1756386000,42835,42925,42800,42840
1756389600,42845,42960,42820,42945
1756393200,42945,43010,42905,42935
1756396800,42935,42990,42910,42915
1756400400,42915,42940,42875,42935
1756404000,42940,42965,42935,42935
1756407600,42935,42950,42915,42915
1756411200,42915,42930,42890,42910
1756414800,42910,42910,42910,42910
1756422000,42910,42920,42765,42790
1756425600,42795,42820,42620,42680
1756429200,42680,42715,42645,42715
1756432800,42710,42740,42630,42700
1756436400,42700,42800,42700,42740
1756440000,42735,42780,42665,42675
1756443600,42680,42755,42660,42750
1756447200,42745,42810,42665,42690
1756454400,42660,42660,42350,42350
1756458000,42350,42440,42345,42435
1756461600,42435,42440,42390,42405
1756465200,42400,42440,42390,42405
1756468800,42405,42485,42390,42420
1756472400,42415,42430,42140,42175
1756476000,42175,42225,42025,42115
1756479600,42110,42225,42085,42120
