time,open,high,low,close
1605684600,1718.5,1731.5,1709.5,1720.5
1605771000,1725,1729,1711.5,1729
1605857400,1728.5,1770.5,1726.5,1768
1606203000,1770.5,1791,1763.5,1771
1606289400,1773.5,1781,1755,1781
1606375800,1781.5,1793.5,1772.5,1778
1606462200,1779,1794,1751,1755.5
1606721400,1760.5,1773,1749,1766.5
1606807800,1765.5,1784.5,1761.5,1775
1606894200,1778,1786.5,1768,1778.5
1606980600,1777.5,1779.5,1768.3,1774
1607067000,1773,1788,1758.5,1764.5
1607326200,1764.5,1764.5,1749,1758.5
1607412600,1756.5,1784.5,1751,1784.5
1607499000,1782,1788,1764,1769
1607585400,1769,1782,1765.5,1774
1607671800,1776,1802.5,1766.5,1786.5
1607931000,1788,1794,1774.5,1777.5
1608017400,1777.5,1794,1777,1783
1608103800,1783,1791.5,1777,1790
1608190200,1790,1795,1783.5,1795
1608276600,1795.5,1801.5,1775.5,1784
1608535800,1778,1779,1748.5,1759.5
1608622200,1761.5,1773.5,1753.5,1762
1608708600,1764.5,1780.5,1762.5,1775.5
1608795000,1775.5,1777.5,1772,1776
1608881400,1775.5,1785.5,1774,1782.5
1609140600,1785,1819.5,1783,1815.5
1609227000,1813.5,1823,1799,1804.5
1609313400,1807,1818.5,1774,1797.5
1609745400,1800,1808.5,1781.5,1785
1609831800,1786,1802,1777.5,1795
1609918200,1799.5,1837,1791.5,1826.5
1610004600,1831.5,1858.5,1819,1858.5
1610091000,1859.5,1866.5,1841,1856
1610523000,1861.5,1885.5,1855,1875.5
1610609400,1875.5,1884.5,1852,1852
1610695800,1854,1859.5,1835,1841
1610955000,1839.5,1860,1838,1856.5
1611041400,1859,1862,1838.5,1847
1611127800,1851.5,1870,1845.5,1856.5
1611214200,1855.5,1859,1840.5,1855.5
1611300600,1852.5,1862,1840.5,1858
1611559800,1858.5,1861,1840,1846.5
1611646200,1850,1865.5,1847,1857
1611732600,1857,1858.5,1816,1827.5
1611819000,1826,1858,1802.5,1804
1611905400,1809.5,1836,1800,1834
1612164600,1834.5,1852,1828.5,1852
1612251000,1846.5,1872.5,1844,1872.5
1612337400,1872.5,1877.5,1861,1865.5
1612423800,1868,1894,1867,1893.5
1612510200,1891.5,1928,1888,1928
1612769400,1923.5,1932,1915.5,1928
1612855800,1925.5,1936.5,1916,1922
1612942200,1924,1940,1912,1928
