time,open,high,low,close
1754607600,3002.5,3004,2997.5,3001.5
1754611200,3001.5,3032,3001,3031.5
1754614800,3031.5,3037,3030,3031.5
1754618400,3031.5,3040.5,3031,3040.5
1754622000,3040.5,3042,3035.5,3035.5
1754625600,3035,3037.5,3029,3030
1754629200,3030,3031,3021,3021
1754632800,3021.5,3031,3020.5,3026.5
1754640000,3028,3035.5,3026.5,3033.5
1754643600,3033.5,3035.5,3031.5,3034.5
1754647200,3034.5,3043,3034,3043
1754650800,3043,3046,3042,3044.5
1754654400,3044.5,3044.5,3037.5,3040.5
1754658000,3040.5,3048,3037.5,3047.5
1754661600,3047.5,3052,3046,3049.5
1754665200,3050,3051,3043.5,3048
1754668800,3048,3052.5,3047.5,3050.5
1754672400,3051,3053,3048.5,3052
1754676000,3052,3055,3050.5,3053.5
1754679600,3053.5,3053.5,3047.5,3049.5
1754683200,3049,3052,3049,3049
1754866800,3052.5,3052.5,3042.5,3048
1754870400,3048,3054.5,3045.5,3054
1754874000,3054.5,3059.5,3053.5,3057
1754877600,3056.5,3058.5,3054,3055
1754881200,3055,3057,3049,3049.5
1754884800,3049.5,3055,3048,3054
1754888400,3054,3054,3051,3051
1754892000,3051.5,3053.5,3049.5,3051.5
1754899200,3045.5,3050,3042.5,3046
1754902800,3045.5,3051,3045.5,3051
1754906400,3051.5,3052,3049,3051
1754910000,3050.5,3052,3049.5,3051.5
1754913600,3051.5,3054,3050,3051.5
1754917200,3051.5,3057.5,3051,3057
1754920800,3057,3058,3053,3056.5
1754924400,3056,3058.5,3053,3056.5
1754928000,3057,3059,3052,3052
1754931600,3052.5,3052.5,3050,3051
1754935200,3051.5,3053.5,3049.5,3053
1754938800,3053,3054,3049.5,3053.5
1754942400,3054,3054,3051.5,3051.5
1754946000,3049.5,3049.5,3049.5,3049.5
1754953200,3051.5,3056,3041,3043.5
1754956800,3043.5,3065,3042.5,3064.5
1754960400,3064.5,3069.5,3057.5,3068.5
1754964000,3068.5,3075,3066.5,3074
1754967600,3074,3080.5,3072,3078
1754971200,3078,3084.5,3076,3082.5
1754974800,3083,3083.5,3067,3069
1754978400,3069,3071.5,3060,3063.5
1754985600,3067.5,3069,3060.5,3064
1754989200,3064.5,3068,3064.5,3067
1754992800,3067,3067.5,3065,3067
1754996400,3067,3069.5,3065.5,3069.5
1755000000,3069.5,3089.5,3068.5,3081.5
1755003600,3082,3088,3077.5,3082
1755007200,3082.5,3093.5,3080,3091.5
1755010800,3091.5,3095,3088.5,3092.5
1755014400,3092.5,3096,3089,3093
1755018000,3093,3094.5,3090.5,3093.5
1755021600,3093.5,3095,3091,3091
1755025200,3091,3094.5,3091,3092
1755028800,3092.5,3094,3091,3093
1755032400,3093.5,3093.5,3093.5,3093.5
1755039600,3092.5,3095.5,3084,3087.5
1755043200,3086.5,3094.5,3078,3094
1755046800,3094,3101,3092,3099.5
1755050400,3099,3100,3094,3097.5
1755054000,3098,3099.5,3093.5,3099
1755057600,3098.5,3105,3094.5,3094.5
1755061200,3095,3096.5,3088,3090.5
1755064800,3091,3098.5,3088.5,3098.5
1755072000,3103,3103.5,3096,3097.5
1755075600,3097,3097.5,3088.5,3088.5
1755079200,3089,3089.5,3084.5,3085
1755082800,3085,3089,3084.5,3085
1755086400,3084.5,3085,3076,3080
1755090000,3080,3084.5,3079,3083
1755093600,3082.5,3084.5,3075.5,3077
1755097200,3077.5,3081.5,3076,3077.5
1755100800,3078,3082,3077.5,3080.5
1755104400,3080.5,3082,3079,3081
1755108000,3080.5,3084.5,3080,3083
1755111600,3083,3085,3081.5,3084.5
1755115200,3085,3085.5,3081,3082
1755118800,3082,3082,3082,3082
1755126000,3079,3084.5,3076.5,3078.5
1755129600,3079,3081,3058.5,3063
1755133200,3062.5,3067,3055,3058
1755136800,3058,3063,3056.5,3062
1755140400,3062.5,3063,3056,3057.5
1755144000,3057.5,3059,3054.5,3057
1755147600,3057,3064,3056,3060
1755151200,3060,3061.5,3055.5,3059
1755158400,3060,3062.5,3049.5,3050.5
1755162000,3050.5,3056,3050.5,3056
1755165600,3055.5,3060.5,3055.5,3059
1755169200,3059.5,3062.5,3059,3062.5
1755172800,3062.5,3064,3054,3060
1755176400,3060.5,3071.5,3057,3071.5
1755180000,3071.5,3078,3070.5,3074
1755183600,3074,3076,3070,3073
1755187200,3072,3074,3069,3072.5
1755190800,3072.5,3075,3072.5,3075
1755194400,3075,3075.5,3072.5,3074.5
1755198000,3074.5,3077.5,3074,3074
1755201600,3074,3075,3071,3074
1755205200,3074,3074,3074,3074
1755212400,3076,3080,3073.5,3074
1755216000,3074,3093.5,3073.5,3086
1755219600,3086,3087.5,3079.5,3085
1755223200,3085,3091,3080.5,3089.5
1755226800,3089,3096.5,3087.5,3095.5
1755230400,3095.5,3101,3095.5,3099
1755234000,3099,3109,3099,3108.5
1755237600,3108.5,3114,3103.5,3114
1755244800,3111,3112,3102.5,3104
1755248400,3103.5,3107,3103,3103.5
1755252000,3103.5,3109.5,3102.5,3109.5
1755255600,3110,3110,3107,3107.5
1755259200,3107.5,3110,3104.5,3107
1755262800,3107,3111.5,3101,3103
1755266400,3103,3106,3100.5,3104
1755270000,3103.5,3108.5,3101.5,3106.5
1755273600,3106,3108,3104.5,3108
1755277200,3107.5,3113,3106.5,3112.5
1755280800,3112,3112.5,3109.5,3110.5
1755284400,3110.5,3112,3108.5,3111.5
1755288000,3111,3111,3107.5,3108
1755291600,3105.5,3105.5,3105.5,3105.5
1755471600,3115.5,3116,3104.5,3110.5
1755475200,3111,3126.5,3111,3122
1755478800,3122.5,3129.5,3120.5,3126.5
1755482400,3127,3130,3124,3127
1755486000,3127,3132,3126,3131.5
1755489600,3131.5,3131.5,3124,3126.5
1755493200,3126.5,3129,3123.5,3125
1755496800,3125.5,3125.5,3119.5,3123.5
1755504000,3122.5,3123,3114.5,3117.5
1755507600,3117.5,3121,3116,3120.5
1755511200,3120.5,3123.5,3119,3122.5
1755514800,3123,3124,3120.5,3122.5
1755518400,3122.5,3125.5,3121.5,3124.5
1755522000,3125,3132,3124.5,3126.5
1755525600,3127.5,3133,3127,3132.5
1755529200,3132,3133.5,3130,3131.5
1755532800,3131.5,3132.5,3126.5,3127.5
1755536400,3127,3129,3124,3125
1755540000,3125,3127.5,3123.5,3127.5
1755543600,3127.5,3131,3126,3128.5
1755547200,3128.5,3129.5,3127,3129
1755550800,3128,3128,3128,3128
1755558000,3128,3132.5,3127,3128.5
1755561600,3128.5,3130.5,3110,3110.5
1755565200,3110.5,3125.5,3107,3124.5
1755568800,3124,3126.5,3120,3120
1755572400,3120,3122,3116,3121.5
1755576000,3121,3126,3119.5,3124
1755579600,3123.5,3127,3122,3123
1755583200,3122.5,3122.5,3116.5,3119.5
1755590400,3121.5,3129.5,3121.5,3129.5
1755594000,3129.5,3137.5,3128.5,3134.5
1755597600,3134,3134,3127.5,3130
1755601200,3130,3133.5,3129,3133
1755604800,3132.5,3133.5,3129.5,3130
1755608400,3130.5,3132.5,3123,3125.5
1755612000,3126,3129.5,3120.5,3121
1755615600,3121,3124.5,3119,3121
1755619200,3121,3122,3114.5,3116.5
1755622800,3116.5,3117.5,3113,3116.5
1755626400,3116,3116.5,3113.5,3115.5
1755630000,3115.5,3117.5,3114,3116.5
1755633600,3117,3117.5,3115,3115
1755644400,3116.5,3120.5,3108,3108
1755648000,3108,3113.5,3101.5,3105.5
1755651600,3105.5,3113,3099.5,3100
1755655200,3100,3104,3097,3100.5
1755658800,3100.5,3101.5,3093,3094
1755662400,3094.5,3102,3094,3101.5
1755666000,3101,3104.5,3097.5,3104.5
1755669600,3104,3107,3097.5,3104.5
1755676800,3107.5,3108,3103.5,3106
1755680400,3106,3106.5,3103,3103
1755684000,3103,3103.5,3100,3103
1755687600,3102.5,3103,3100,3102
1755691200,3102,3104.5,3100,3102
1755694800,3102,3103.5,3086,3087
1755698400,3086.5,3094.5,3086.5,3089
1755702000,3089,3097.5,3088.5,3093.5
1755705600,3093,3099,3093,3096.5
1755709200,3096.5,3099,3094,3096
1755712800,3096.5,3099,3094.5,3097.5
1755716400,3097.5,3103,3097.5,3102
1755720000,3101,3102,3099.5,3101.5
1755730800,3099,3103,3096,3100
1755734400,3099.5,3099.5,3076.5,3078
1755738000,3078,3090,3076,3088.5
1755741600,3088.5,3089.5,3082,3083
1755745200,3083.5,3085.5,3081,3082
1755748800,3082,3086,3081,3085.5
1755752400,3085.5,3088,3083,3087.5
1755756000,3087.5,3088.5,3082.5,3083.5
1755763200,3085,3087.5,3079.5,3081
1755766800,3081,3084.5,3078,3082
1755770400,3081.5,3085.5,3080,3085
1755774000,3085.5,3087,3083,3084
1755777600,3083.5,3083.5,3079,3083
1755781200,3083,3087.5,3080.5,3086
1755784800,3085.5,3094,3084.5,3093
1755788400,3093,3095,3089,3090
1755792000,3090,3090.5,3087,3087.5
1755795600,3087,3090.5,3083,3089
1755799200,3088.5,3090.5,3088,3090
1755802800,3090,3091,3086.5,3088.5
1755806400,3088.5,3089,3087,3089
1755810000,3091.5,3091.5,3091.5,3091.5
1755817200,3087,3093.5,3086,3088.5
1755820800,3088.5,3100,3078.5,3097.5
1755824400,3097.5,3103,3093.5,3098.5
1755828000,3098.5,3104.5,3095,3095.5
1755831600,3095,3096,3092,3095
1755835200,3094.5,3098,3093.5,3097
1755838800,3097.5,3100.5,3096.5,3100.5
1755842400,3100,3101.5,3097,3099.5
1755849600,3104,3108.5,3104,3108.5
1755853200,3108.5,3109.5,3105.5,3109
1755856800,3109,3109.5,3103.5,3107
1755860400,3107,3108.5,3103.5,3104
1755864000,3104.5,3104.5,3101.5,3102.5
1755867600,3102.5,3108.5,3102.5,3107
1755871200,3107,3119.5,3102.5,3112
1755874800,3112,3112.5,3102.5,3102.5
1755878400,3102.5,3106,3102.5,3102.5
1755882000,3102.5,3108,3102.5,3106.5
1755885600,3107,3109.5,3106,3108.5
1755889200,3108.5,3110,3107,3110
1755892800,3110,3112,3109,3110.5
1755896400,3106.5,3106.5,3106.5,3106.5
1756076400,3119.5,3120.5,3104,3118
1756080000,3118,3128.5,3103.5,3109.5
1756083600,3109,3110.5,3103,3109
1756087200,3109.5,3113,3105.5,3107
1756090800,3106.5,3107,3099,3103.5
1756094400,3103,3106.5,3102,3104
1756098000,3104,3106.5,3101.5,3105
1756101600,3105,3106,3100,3103
1756108800,3104.5,3104.5,3095,3095
1756112400,3095,3095,3093,3094.5
1756116000,3094.5,3097.5,3094,3095.5
1756119600,3095.5,3096.5,3093,3094.5
1756123200,3094.5,3095.5,3092,3094.5
1756126800,3094.5,3100.5,3094.5,3097.5
1756130400,3098,3099.5,3093,3095
1756134000,3094.5,3096.5,3093,3095
1756137600,3095,3095.5,3093,3093
1756141200,3093.5,3093.5,3089,3092.5
1756144800,3092.5,3093,3091,3092
1756148400,3092,3093.5,3090,3091
1756152000,3091,3092,3089.5,3090
1756162800,3098.5,3100,3096,3096
1756166400,3096,3099.5,3064.5,3070
1756170000,3070,3078.5,3068,3074
1756173600,3074,3077.5,3071,3071.5
1756177200,3072,3078.5,3068,3078.5
1756180800,3078.5,3081.5,3075,3076
1756184400,3075.5,3078.5,3075,3077
1756188000,3076.5,3078.5,3063.5,3068
1756195200,3064,3064,3056,3062
1756198800,3061.5,3066,3060.5,3065.5
1756202400,3066,3070,3065,3068.5
1756206000,3068.5,3069,3064.5,3066
1756209600,3066,3069,3062,3067.5
1756213200,3068,3072.5,3066.5,3072.5
1756216800,3072.5,3078.5,3072.5,3074.5
1756220400,3075,3075,3069.5,3072
1756224000,3072,3072,3070,3072
1756227600,3072,3072.5,3070.5,3072.5
1756231200,3072.5,3077.5,3072,3075
1756234800,3074.5,3079.5,3074.5,3078.5
1756238400,3078.5,3080.5,3078.5,3080
1756242000,3080,3080,3080,3080
1756249200,3080.5,3080.5,3074,3074.5
1756252800,3074.5,3077,3059.5,3065.5
1756256400,3066,3067,3062,3065.5
1756260000,3065.5,3071,3064,3069.5
1756263600,3069,3073.5,3068,3071.5
1756267200,3071.5,3072,3068.5,3070.5
1756270800,3071,3071,3065,3068.5
1756274400,3068.5,3075,3065.5,3068
1756281600,3065.5,3066,3056,3058.5
1756285200,3058.5,3061.5,3058.5,3061
1756288800,3061,3062.5,3060,3062
1756292400,3061,3062.5,3060,3062
1756296000,3061.5,3065,3059,3060.5
1756299600,3060.5,3063.5,3057.5,3061
1756303200,3061.5,3067,3061,3064
1756306800,3064,3068,3064,3066.5
1756310400,3066.5,3067,3063,3065
1756314000,3065,3066.5,3063.5,3066.5
1756317600,3066.5,3070,3066.5,3068.5
1756321200,3069,3072,3067.5,3071
1756324800,3070.5,3072,3057,3067.5
1756328400,3064.5,3064.5,3064.5,3064.5
1756335600,3059.5,3064.5,3057.5,3061
1756339200,3061,3080.5,3056.5,3075.5
1756342800,3075,3082.5,3072,3081
1756346400,3081.5,3084,3078,3079.5
1756350000,3080,3087.5,3079.5,3085.5
1756353600,3085.5,3086.5,3081.5,3086.5
1756357200,3086,3090.5,3085.5,3089.5
1756360800,3089,3098,3087.5,3098
1756368000,3101.5,3101.5,3092.5,3092.5
1756371600,3093,3094.5,3086.5,3087
1756375200,3087.5,3087.5,3081.5,3082.5
1756378800,3083,3083.5,3079.5,3082.5
1756382400,3082.5,3088.5,3082,3087
1756386000,3087,3090.5,3084,3085.5
1756389600,3086,3091.5,3084.5,3090.5
1756393200,3090.5,3094,3087.5,3088
1756396800,3087.5,3090.5,3085.5,3085.5
1756400400,3085.5,3086.5,3083.5,3086
1756404000,3086,3088,3085.5,3086
1756407600,3086,3087,3084.5,3085
1756411200,3084.5,3085,3083,3084.5
1756414800,3084,3084,3084,3084
1756422000,3086.5,3086.5,3076,3080
1756425600,3080,3083,3069,3074
1756429200,3074,3078.5,3073.5,3077
1756432800,3077,3079,3072,3076.5
1756436400,3076.5,3082,3075.5,3080
1756440000,3079.5,3082,3075.5,3075.5
1756443600,3075.5,3080,3074.5,3079.5
1756447200,3080,3083.5,3069.5,3072.5
1756454400,3070,3070.5,3052.5,3052.5
1756458000,3052.5,3058.5,3051.5,3058
1756461600,3058,3058.5,3055.5,3056.5
1756465200,3056,3058.5,3055.5,3057.5
1756468800,3057.5,3061.5,3056.5,3058.5
1756472400,3058,3059.5,3046.5,3048.5
1756476000,3048.5,3050.5,3040.5,3047
1756479600,3046.5,3052.5,3038.5,3044
1756483200,3044,3052,3044,3050
1756486800,3049.5,3051,3046,3049.5
1756490400,3049.5,3049.5,3046.5,3047.5
1756494000,3047.5,3050,3045,3047
1756497600,3047,3048.5,3046.5,3048.5
1756681200,3054.5,3060,3052,3059
1756684800,3059.5,3080.5,3053,3079.5
1756688400,3080,3080,3053.5,3056
1756692000,3056,3057,3046.5,3047
1756695600,3047,3052.5,3045.5,3052
1756699200,3052,3056,3050,3055.5
1756702800,3055.5,3061,3053,3060.5
1756706400,3060.5,3066.5,3059.5,3066.5
1756713600,3068,3074,3067.5,3073
1756717200,3073,3073,3069,3071.5
1756720800,3071.5,3072.5,3069.5,3072
1756724400,3072.5,3075,3071.5,3073.5
1756728000,3073,3076,3073,3075
1756731600,3075.5,3076,3070,3074.5
1756735200,3075,3075.5,3074,3075.5
1756738800,3075.5,3075.5,3073.5,3074.5
1756742400,3074,3074.5,3072,3073
1756746000,3073,3073.5,3072,3073
1756749600,3073.5,3073.5,3073,3073.5
1756753200,3073.5,3073.5,3073,3073.5
1756756800,3073.5,3073.5,3073,3073.5
1756760400,3075,3075,3075,3075
1756767600,3075,3077,3070,3071
1756771200,3071,3078,3067.5,3077.5
1756774800,3077.5,3086,3075.5,3078.5
1756778400,3079,3079.5,3073,3076.5
1756782000,3077,3087.5,3074,3086.5
1756785600,3086,3087,3077.5,3077.5
1756789200,3077.5,3080.5,3068.5,3078
1756792800,3077.5,3085,3077.5,3085
1756800000,3074.5,3076,3065,3070.5
1756803600,3070.5,3072,3067.5,3070.5
1756807200,3070,3071,3063,3064
1756810800,3064,3065,3060.5,3061
1756814400,3060.5,3060.5,3047,3053.5
1756818000,3053.5,3066,3048,3065
1756821600,3065,3068.5,3061,3062
1756825200,3062,3063.5,3056,3057.5
1756828800,3057.5,3063.5,3057,3062.5
1756832400,3063,3071,3062.5,3070
1756836000,3070,3071.5,3066,3070
1756839600,3070,3074.5,3070,3073
1756843200,3073,3078,3072.5,3076.5
1756846800,3076.5,3076.5,3076.5,3076.5
1756854000,3073,3079,3071,3075.5
1756857600,3075,3079.5,3070,3078
1756861200,3078,3079,3062,3074
1756864800,3074,3074.5,3065.5,3066.5
1756868400,3066,3068,3055,3055.5
1756872000,3056,3059,3046,3047.5
1756875600,3047.5,3049,3042.5,3045
1756879200,3045.5,3056,3044,3053.5
1756886400,3057,3064,3057,3063
1756890000,3062.5,3064.5,3060.5,3063.5
1756893600,3063.5,3065.5,3061.5,3064
1756897200,3064.5,3068,3064,3066
1756900800,3066,3069,3061.5,3063
1756904400,3063,3071,3062.5,3064.5
1756908000,3065,3066,3059.5,3061
1756911600,3061,3062,3055.5,3057
1756915200,3056.5,3058.5,3053.5,3055.5
1756918800,3055.5,3058,3051.5,3053
1756922400,3052.5,3054.5,3051.5,3053
1756926000,3053,3064,3052.5,3063.5
1756929600,3063.5,3064.5,3062,3062.5
1756933200,3062.5,3062.5,3062.5,3062.5
1756940400,3059.5,3061,3056,3056
1756944000,3056.5,3074,3055,3072
