time,open,high,low,close
1739836800,2770.78,2780.11,2765.83,2777.52
1739840400,2777.54,2778.76,2772.49,2774.3
1739844000,2774.26,2775.22,2771.45,2772.78
1739847600,2777.35,2787.42,2773.22,2787.42
1739851200,2787.47,2789.29,2781.32,2782.49
1739854800,2782.52,2784.55,2778.97,2779.48
1739858400,2779.54,2779.74,2775.51,2775.51
1739923200,2772.73,2781.8,2770.92,2781.13
1739926800,2781.09,2781.9,2758.23,2769.49
1739930400,2769.51,2769.51,2762.37,2764.01
1739934000,2764.35,2767.54,2763.78,2766.88
1739937600,2766.87,2769,2764.58,2767.11
1739941200,2767.02,2769.49,2765.37,2766.7
1739944800,2766.67,2767.77,2765.69,2767.25
1740009600,2751.47,2755.07,2743.12,2744.24
1740013200,2744.21,2744.29,2731.15,2736.33
1740016800,2736.3,2736.3,2725.96,2727.75
1740020400,2728.28,2728.84,2722.54,2723.53
1740024000,2723.55,2734.85,2722.24,2734.49
1740027600,2734.46,2737.85,2730.38,2735.87
1740031200,2735.88,2736.42,2731.45,2734.6
1740096000,2725.29,2734.02,2722.7,2730.56
1740099600,2730.59,2740.69,2720.94,2734.44
1740103200,2734.43,2735.82,2730.4,2734.97
1740106800,2736.63,2737.14,2725.43,2727.46
1740110400,2727.49,2731.12,2725.02,2730.33
1740114000,2730.49,2736.32,2730.15,2735.05
1740117600,2735.03,2738.9,2733.73,2736.53
1740441600,2713.98,2723.57,2710.02,2722.09
1740445200,2722.04,2729.88,2720.06,2726.18
1740448800,2726.11,2733.47,2724.87,2727.59
1740452400,2730.15,2731.98,2726.49,2731.32
1740456000,2731.35,2732.97,2724.08,2724.31
1740459600,2724.3,2731.61,2724.29,2730.82
1740463200,2730.79,2731.24,2724.7,2724.7
1740528000,2718.01,2719.57,2699.19,2699.89
1740531600,2699.87,2704.75,2693.43,2695.28
1740535200,2695.31,2697.09,2692.24,2695.74
1740538800,2702.51,2704.8,2695.19,2695.44
1740542400,2695.48,2699.39,2694.42,2698.43
1740546000,2698.42,2714.41,2698.42,2710.61
1740549600,2710.62,2717.6,2710.62,2716.4
1740614400,2719.76,2731.71,2715.99,2730.41
1740618000,2730.43,2736.58,2724.71,2726.11
1740621600,2726.07,2730.21,2722.98,2729.63
1740625200,2728.52,2733.86,2727.49,2727.54
1740628800,2727.5,2727.88,2723.26,2725.88
1740632400,2725.75,2734.91,2724.9,2733.4
1740636000,2733.39,2736.25,2731.64,2736.25
1740700800,2712.61,2718.01,2684.99,2686.47
1740704400,2686.4,2687.98,2676.22,2681.03
1740708000,2681.04,2684.96,2678.48,2684.96
1740711600,2679.39,2680.63,2668.74,2677.16
1740715200,2677.22,2685.26,2674.39,2679.8
1740718800,2679.75,2685.61,2678.45,2682.58
1740722400,2682.56,2687.25,2681.94,2682.09
1740960000,2711.03,2721.89,2701.52,2710
1740963600,2710.06,2722.87,2708.44,2715.13
1740967200,2715.11,2717.11,2711.65,2716.16
1740970800,2720.05,2726.01,2720.05,2724.02
1740974400,2724.01,2728.63,2723.36,2728.58
1740978000,2728.57,2730.72,2725.83,2730.17
1740981600,2730.19,2730.23,2724.18,2729.56
