time,open,high,low,close
1614297600,29753.73,29760.31,28966.01,28966.01
1614556800,29419.45,29686.39,29396.04,29663.43
1614643200,29939.75,29996.39,29314.82,29408.1
1614729600,29482.12,29604.37,29336.6,29559.03
1614816000,29198.42,29277.19,28711.04,28929.89
1614902400,28725.48,28867.83,28308.57,28864.25
1615161600,29208.19,29255.9,28644.26,28743.18
1615248000,28748.87,29053.56,28609.21,29027.87
1615334400,29118.28,29233.47,28960.09,29036.49
1615420800,29033.92,29255.42,28995.33,29211.57
1615507200,29287.74,29744.32,29210.4,29717.76
1615766400,29804.5,29884.73,29670.31,29766.9
1615852800,29770.39,30026.4,29755.47,29921.02
1615939200,29836.83,29984.97,29825.16,29914.11
1616025600,30148.48,30485,30041.5,30216.68
1616112000,29904.57,30049.77,29621.22,29791.98
1616371200,29444.1,29472.98,29107.63,29173.93
1616457600,29381.49,29496.83,28995.92,28995.92
1616544000,28765.55,28867.67,28379.06,28405.45
1616630400,28457.33,28821.83,28414.92,28729.81
1616716800,29068.52,29240.74,28953.22,29176.63
1616976000,29478.12,29578.37,29200.88,29384.45
1617062400,29365.04,29478.2,29283.89,29432.48
1617148800,29278.33,29348.99,29165.52,29178.73
1617235200,29441.91,29585.46,29318.82,29388.65
1617321600,29704.66,29869.67,29694.09,29853.93
1617580800,30084.61,30195,30024.25,30089.18
1617667200,30208.89,30208.89,29665.86,29696.56
1617753600,29743.48,29867.94,29523.55,29730.72
1617840000,29675.88,29744.79,29516.42,29708.91
1617926400,29865.53,30064.35,29768.06,29768.06
1618185600,29874.43,29876.04,29538.73,29538.73
1618272000,29605.69,29897.11,29573.79,29751.54
1618358400,29718.06,29722.4,29567.18,29620.92
1618444800,29573.9,29787.66,29558.55,29642.62
1618531200,29789.08,29789.08,29621.83,29683.3
1618790400,29688.32,29808.01,29530.84,29685.15
1618876800,29355.87,29361.28,29014.36,29100.31
1618963200,28660.36,28778.93,28419.84,28508.48
1619049600,28880.78,29192.39,28800.86,29188.1
1619136000,28939.12,29035.34,28770.62,29020.56
1619395200,29095.49,29241.28,28896.37,29126.16
1619481600,29174.53,29187.11,28990.19,28991.82
1619568000,28935.51,29139.7,28875.91,29053.9
1619740800,28996.66,29046.49,28760.27,28812.41
1620259200,29024.01,29430.22,28966.47,29331.15
1620345600,29330.45,29449.86,29237.36,29357.75
1620604800,29376.89,29685.41,29346.14,29518.27
1620691200,29238.56,29289.12,28535.36,28608.52
1620777600,28712.1,28831.03,27888.59,28147.44
1620864000,27929.01,27961.96,27385.03,27447.79
1620950400,27723.7,28139.96,27723.7,28084.4
1621209600,28310.46,28312.78,27632.53,27824.76
1621296000,27931.57,28481.17,27931.57,28406.77
1621382400,28031.22,28216.65,27842.98,28044.38
1621468800,27875.5,28176.87,27821.96,28098.18
1621555200,28269.61,28411.56,28193.03,28317.76
1621814400,28212.32,28584.18,28212.32,28364.39
1621900800,28516.99,28576.97,28443.74,28553.91
1621987200,28396.62,28710.83,28396.62,28642.12
1622073600,28543.32,28587.21,28360.56,28548.79
1622160000,28912.54,29194.11,28899.66,29149.19
1622419200,29019.45,29147.71,28791.6,28860.01
1622505600,28998.65,29075.47,28611.25,28814.12
1622592000,28730.81,29003.55,28565.83,28946.07
1622678400,28890.39,29157.16,28879.15,29058.04
1622764800,28901.42,28991.24,28764.68,28941.45
1623024000,29214,29241.2,28973.05,29019.02
1623110400,29046.03,29140.68,28897.64,28963.49
1623196800,28901.56,28932.03,28801.83,28860.73
1623283200,28799.74,29007.53,28799.74,28958.49
1623369600,29030.04,29080.89,28839.54,28948.66
1623628800,29153.11,29208.35,29026.27,29161.58
1623715200,29256.03,29480.85,29235.71,29441.23
1623801600,29306.14,29434.1,29263.72,29290.94
1623888000,29149.34,29197.68,28875.39,29018.26
1623974400,29136.74,29136.74,28957.98,28964.01
1624233600,28506.84,28506.84,27795.86,28010.86
1624320000,28513.07,28895.26,28494.46,28884.06
1624406400,28886.92,29007.83,28860.06,28874.82
1624492800,28811.82,28935.34,28758.37,28875.16
1624579200,29137.3,29174.17,28992.74,29066.11
1624838400,29112.66,29121.28,28984.93,29047.95
1624924800,28927.44,28951.68,28735.55,28812.39
1625011200,28896.31,28998.99,28779.76,28791.46
1625097600,28832.41,28833.17,28624.8,28706.97
1625184000,28719.24,28849.32,28688.63,28783.21
1625443200,28709.57,28731.07,28581.08,28598.12
1625529600,28677.95,28748.23,28587.61,28643.14
1625616000,28262.4,28434.99,28161.75,28366.88
1625702400,28332.63,28366.76,28118.03,28118.03
1625788800,27739.42,28000.02,27419.4,27940.35
1626048000,28412.7,28595.12,28405.6,28568.95
1626134400,28713.82,28852.31,28699.04,28718.02
1626220800,28517.31,28696.8,28482.82,28608.42
1626307200,28539.32,28571.72,28240.21,28279.02
1626393600,28039.26,28201.3,27847.35,28003.01
1626652800,27663.4,27792.52,27493.63,27652.67
1626739200,27351.8,27564.52,27330.15,27388.09
1626825600,27747.06,27882.43,27438.07,27547.93
1627257600,27990.47,28036.47,27786.44,27833.22
1627344000,27911.93,28036.23,27862.69,27970.15
1627430400,27674.99,27809.86,27466.99,27581.59
1627516800,27722.61,27798.05,27663.41,27782.35
1627603200,27677.89,27699.35,27272.49,27283.52
1627862400,27493.32,27834.6,27493.32,27780.95
1627948800,27580.03,27724.45,27492.4,27641.76
1628035200,27612.9,27636.34,27488.74,27583.86
1628121600,27526.67,27741.55,27526.67,27728.05
1628208000,27709.22,27888.87,27709.22,27819.97
1628553600,27887.03,28128.61,27808.54,27888.08
1628640000,28045.84,28146.68,27974.99,28070.44
1628726400,28177.2,28279.8,28006.31,28014.95
1628812800,28038.96,28070,27949.33,27977.08
1629072000,27806.11,27833.21,27427.38,27523.12
1629158400,27666.94,27750.39,27424.47,27424.47
1629244800,27418.08,27671.57,27347.77,27585.84
1629331200,27398.58,27504.8,27255.58,27281.1
1629417600,27238.45,27316.79,26954.81,27013.18
1629676800,27193.1,27541.63,27193.1,27494.17
1629763200,27653.23,27817.89,27653.23,27732.03
1629849600,27768.13,27897.72,27684.05,27724.58
1629936000,27793.63,27828.28,27684.5,27742.22
1630022400,27581.24,27670.66,27481.23,27641.07
1630281600,27867.6,27921.55,27656.63,27789.22
1630368000,27690.77,28158.95,27602.21,28089.32
